,Platform,Content (Reviews and Tweets),Formatted Dates
639,ISEL Global,"""The program can be completed much faster as per me may be from start to finish within a month from initial registration. For me it took around 3 months which I am aware is the specifies time but time is money so if you can make the same with less days between sessions and exams it might be a prereference to some who want to get certified faster. (Suggestion)
Customer support – Friendly and round the clock support very good client interaction.
Training and trainer – Good training from the trainer I understand the challenges using an online media for teaching, Hence well Executed but wish we could have a way to make a request list and get PPT’s, attachments and files shared to us.(Suggestion) (I am talking apart from receiving the recording).""",20-12-2018
640,ISEL Global,"""Excellent training/ trainer and customer service. There should be an offline soft copy of study material which helps more and better understanding for especially working/ professional people due to time constraint.
Thank you entire ISEL team for help, support and guidance during the course.""",20-12-2018
641,ISEL Global,"""Glad to complete my Six Sigma Green Belt. Fully satisfied in all respects. Thank you ISEL.""",20-12-2018
642,ISEL Global,"""Nice program, fully satisfied with the service and training structure. The support and material are all up to date and available as and when required. Thanks. """,20-12-2018
643,ISEL Global,"""Good course, customer support - excellent. Training excellent and customer support very good. My course coordinator Shubham is a magnificent counselor. Thank you.""",20-12-2018
644,ISEL Global,"""Course content was very useful and comprehensive. It talks about the subject in detail. You can take support from the trainer in case of any topic is not clear. I would recommend ISEL for working professionals like me to improve their process in BPO industries and get noticed in the company.

Customer Service was excellent and ready for help anytime. Mr. Saurabh Sharma provided me all the help required during the Green Belt course and hope to get similar support for my upcoming black belt course.
I would say thanks to ISEL and wish best of luck to keep updating skills of people""",20-12-2018
645,ISEL Global,"""Course content was very useful and comprehensive. It talks about the subject in detail. You can take support from the trainer in case of any topic is not clear. I would recommend ISEL for working professionals like me to improve their process in BPO industries and get noticed in the company.

Customer Service was excellent and ready for help anytime. Mr. Saurabh Sharma provided me all the help required during the Green Belt course and hope to get similar support for my upcoming black belt course.
I would say thanks to ISEL and wish best of luck to keep updating skills of people""",20-12-2018
646,ISEL Global,"""Nice program, the Customer support team has eased the pressure in all ways and helped in getting the flying marks in the exam. Have gone through the recorded session but the training material was sufficient and focused. Thanks, team for all help and timely reminders. """,18-12-2018
647,ISEL Global,"""As feedback since this training was from the video so was not so useful as I had a good amount of questions and few if the questions asked in the test were not available in shared pdf file as well was not covered in videos. Now share my plan for Black belt program.
""",18-12-2018
648,ISEL Global,"""I did not get support from ISEL Global to prepare my Green Belt exam, Expecting I will get more help during my BB study. Also guide me further process for Black Belt training.""",18-12-2018
649,ISEL Global,"""Green belt training was good and was up to satisfaction level. All major topics covered properly with examples in the green belt. 
But in black belt, major critical topics were left and not covered in details. I, unfortunately, missed one session but the recording was of use. I would say the course was very informative but still a few lags in the black belt. Support by the team is excellent and offered from time to time. """,18-12-2018
650,ISEL Global,"""I am satisfied with the services provided for Green six sigma course and support (guidance) given by Team Leader. Sessions by trainer are really very interactive and engaging. Looking forward to BLACK BELT course. """,18-12-2018
651,ISEL Global,"""Excellent Support from Faculty Members. I completed my six sigma green belt and black belt course from ISEL Global. Support, trainer, sessions and entire team involvement is very good. 
Would suggest working on study material also, as books are not up to mark. Thanks """,18-12-2018
652,ISEL Global,"""I took Lean Six Sigma Combo Course- Green Belt & Black Belt. As it was self-program so no special comment, but confirmation and other service were good. """,18-12-2018
653,ISEL Global,"""Completed my Lean Six Sigma, Green Belt and Black Belt certification from ISEL Global. Live online sessions were good, interactive enough to understand all aspects. Team supports learners with projects, mock, and recorded lectures to help in all aspects. Overall a nice experience. Satisfied. """,18-12-2018
654,ISEL Global,"""Amazing support i received throughout the course and great session by the trainer. The live sessions are good, interactive and go from basic to advance.  """,18-12-2018
655,ISEL Global,"""Recently completed my Six Sigma Black Belt Course. Effective program, prompt customer support, valuable content, and knowledgeable and efficient trainer. Great experience. Thanks """,18-12-2018
656,ISEL Global,"""Overall I can say it is good. More study material and case study to solve can help the candidate in a better way. 
""",18-12-2018
657,ISEL Global,"""It was a great experience overall. The program, trainer and customer support was great. Really honored to get lean six sigma black belt certified from ISEL Global. Best part is the support from facilitators. """,18-12-2018
658,ISEL Global,"""The online sessions are good and quite informative but it would be great if students/trainees are allowed to choose a timing that they are comfortable with.
Overall good experience. """,18-12-2018
659,ISEL Global,"""Excellent experience, classes took place on time. Voice clarity and trainers explanations are good. I could able to clear Lean Six Sigma and associated projects on time and finished taking the exam today. I strongly recommend ISEL online courses.""",18-12-2018
660,ISEL Global,"""Program of LSSBB is good, i came to know many things about Six Sigma. I learn six sigma tools and same going to use personally for my current work area. 
I appreciate for ISEL customer support, they answered for all my doubt by replying phone call and emails during course also they communicated on time for all activities for the course which help me to finished my course on time.  
I used classroom recording which was enough for the course and easy to understand. Thanks to trainer she makes classroom very enjoyable and easy to understand the topic by providing a good example. """,18-12-2018
661,ISEL Global,"""Fully Satisfied with everything. Excellent training and trainers. Will surely recommend to my colleagues. Thanks, ISEL Global 
""",16-12-2018
662,ISEL Global,"""The program and trainer were good. Support from facilitators is great, always ready day and night to help and support. It will definitely help us in our professional carrier. We are looking forward same in PMP program.""",16-12-2018
663,ISEL Global,"""Excellent facilitators. Interactive sessions and group activities. Overall I had fun and I learned a lot from this Six Sigma training. Highly recommended! 
""",16-12-2018
664,ISEL Global,"""The training program was good. It was really worth the time and investment. It was interactive by applying the methodology of six sigma to a simple yet practical case. Highly recommended! """,16-12-2018
665,ISEL Global,"""Excellent support. I believe the best place to take six sigma certification course. Thanks a lot, ISEL Global for all support and time. Good job. """,16-12-2018
666,ISEL Global,"""The six sigma green belt program is really useful and very cost effective for beginners in seeking management knowledge. The training and was very helpful and the course content recordings  Mrs.Aysha helped understanding the concepts very well with simple examples. But more of learning material and practice tests required.""",16-12-2018
667,ISEL Global,"""Excellent. I completed my Lean Six Sigma Green Belt Certification and my experience from beginning to end is excellent. Appreciate the way things are managed and the support by facilitators is really professional. Great to be part of training. Wonderfull. """,16-12-2018
668,ISEL Global,"""The Lean Six Sigma methodologies and structured framework shared by ISEL Global would be very helpful in terms of improving our cycle time in delivering service to our customers. Fully satisfied with the course and the overall support provided. """,16-12-2018
669,ISEL Global,"""Excellent real-world examples to the club with theory and application, which helped give the online class a better understanding of the concepts. The facilitators were very knowledgeable and engaging. Very nice way to conduct online workshop!  Great to be CLSSGB certified. """,16-12-2018
670,ISEL Global,"""Very much customer supportive and customer friendly. Training: is very good, nicely exemplified, perfectly balanced and scheduled the special classes, taught the basic fundamentals of Green Belt and Black Belt curriculum. Trainer very much student-friendly, nicely dealt the student problems, mostly tried to cover the examination-oriented questions in the classroom.""",15-12-2018
671,ISEL Global,"""The program is very helpful for understanding the various process in LSS. Excellent presentation from the Facilitators, a very exciting way of conducting an online workshop. Support is awesome. All excellent. Thanks """,15-12-2018
672,ISEL Global,"""Its a wonderful experience with the support system and the training part as well. ISEL Global provides you not only learnings but the actual application of tool during the training. Excited to apply all that i learned. Thanks. """,15-12-2018
673,ISEL Global,"""Its a wonderful experience with the support system and the Lean Six Sigma Black Belt training part as well. ISEL Global provides you not only learnings but the actual application of tool during the training. Excited to apply all that i learned. Thanks to the overall team for their dedication and timely support. """,15-12-2018
674,ISEL Global,"""Excellent training and facilitators for Black Belt. They are able to walk me through how six sigma works using their simple and interactive tools. I really learned alot from this training. DMAIC and project is takeaway for me. 
Thanks a lot team for all help. """,15-12-2018
675,ISEL Global,"""Program support has been excellent.  The book provides is a very comprehensive guide. However, during the training, the trainer did not cover a lot of topics for black belt.  For e.g. Mathematical problems for gage R&R, process capability, confidence intervals, sample tests etc.  I believe, for BB, there should more emphasis on the practical aspects and mathematical practice of six sigma.""",15-12-2018
676,ISEL Global,"""The program is excellent. Support from Trainer Ms.Ayesha is really good. The way training is delivered is really good and one get an end to end knowledge for all aspects of Six Sigma Black Belt. The online session gives you full learning experience at a comfort of home. Recommended for professionals. """,15-12-2018
677,ISEL Global,"""Completely practical course and love the way the online session is conducted. I did my Green Belt and Black Black Belt via the online instructor-led platform and entire training was very smooth and even with a country barrier, the learning was excellent. Great job team. Thanks for all support. """,15-12-2018
678,ISEL Global,"""The course was designed in such a way that even a person who has no idea of 6 sigma and lean can become familiar with all the important topics. The customer support is excellent and very flexible. 
I strongly recommend ISEL Global for Lean and Six Sigma Certification. """,15-12-2018
679,ISEL Global,"""Excellent experience, classes took place on time. Voice clarity and trainers explanations are good. I could able to clear Lean Six Sigma on time and finished taking the exam today. I strongly recommend ISEL online courses.""",14-12-2018
680,ISEL Global,"""The online sessions for Lean Six Sigma Green Belt are good and quite informative but it would be great if students/trainees are allowed to choose a timing that they are comfortable with.
But overall the support and team response to the query is commendable. Fully Satisfied. 
""",14-12-2018
681,ISEL Global,"""I had registered myself for LSSGB and LSSBB programmes in December 2017.
I cleared my LSSGB on 31st March 2018 and LSSBB today (10th July 2018)!
I found the course structure very compact and effective, instructors very knowledgeable and cooperative and above all, the support from Back Office, particularly from the desk of Mr. Shubham Dubey was par excellence. Of course, sometimes, there were some hurdles, but the team was quite proactive in solving the issues.
I recommend ISEl Global to all my friends and followers.""",14-12-2018
682,ISEL Global,"""I have just completed Six Sigma Green Belt Program with ISEL Global. It is a well organized program. The contact person (Subham) has been very helpful; teaching resources have been good, could have been slightly better though. Wish we had more time to cover more topics. Overall, I am very satisfied with the institution's services. Thanks, ISEL Global.
""",14-12-2018
683,ISEL Global,"""I recommend this course for Lean six sigma green belt. In this course basics are very well covered can be improved on the statistics part. Overall I am happy with the training and I have received excellent customer support whenever needed. Thank you ISEL GLOBAL.
""",14-12-2018
684,ISEL Global,"""ISEL Global has provided an online learning platform with a great ease of learning. The training session was good and elaborated. Course content was well covered in every aspect of Lean Six Sigma Green Belt. The trainer was having a great knowledge of the subject. All sessions were interactive. Only feedback is to have more live examples to be added in sessions. Overall, great experience....:)""",14-12-2018
685,ISEL Global,"""Lean & Six Sigma has been made very simple in this program. There should be some more focus on the statistics part of this program For eg: There should be a mock test and a refresher training on statistics mainly from the assessment point of view. Also a dummy project should be included before the assessment.  
Overall nice experience at ISEL Global. """,14-12-2018
686,ISEL Global,"""Had a very good experience at ISEL for completing my Six Sigma Green Belt Certification. Shubham has been very helpful and has answered all my queries, no matter how many. I would recommend ISEL to everyone.
""",14-12-2018
687,ISEL Global,"""The effort, assistance and individual attention provided by each and every faculty member are simply commendable ensuring that every single student is meticulously carved out and well polished by the end of the curriculum and is ready to face the challenges posed by the world.""",14-12-2018
688,ISEL Global,"""All things are good. Support, training and learning assistance are all fine. Thanks. """,14-12-2018
689,ISEL Global,"""I felt the Six Sigma Green Belt training was very worth for our future advancement and training was so good and easy to grab and understand. I appreciate the team for overall support. The live session and trainer knowledge and expertise are all good. Fully Satisfied. """,14-12-2018
690,ISEL Global,"""Excellent. I enjoyed the entire training especially the material is really rich. Thanks for all support. Great to become CLSSBB expert. """,14-12-2018
691,ISEL Global,"""Very supportive in all aspect. Glad to complete my Lean Six Sigma Black Belt Certification Course. Staff is very cooperative and trainers are very skilled here. Everyone is ready to help you if you face any query. Project support is very good. Management is very helpful and organized. Would recommend everyone to get trained and certified from ISEL Global. """,14-12-2018
692,ISEL Global,"""The training program Lean Six Sigma Black Belt by ISEL is very pragmatic and worthy in the future course of time while applying the same in the relevant field during the course of time. I appreciate the steps taken on the part of ISEL to enhance the knowledge domain in a positive approach and recommend the same for the professionals to do or undertake the courses run by ISEL global.
Best wishes and Good luck.....!""",14-12-2018
693,ISEL Global,"""Fully satisfied with the course, learning support and the live sessions. Like the way, things are taught and an end to end support is provided. Good going, keep it up. """,14-12-2018
694,ISEL Global,"""Fully satisfied with the course, learning support and the live sessions. Like the way, things are taught and an end to end support is provided. Good going, keep it up. """,14-12-2018
695,ISEL Global,"""I complete my certified six sigma green belt course. The training and mentor support was excellent. I found material and live session informative and practically usefull. Direct it can be applied to my role. Thanks, team for all support. """,14-12-2018
696,ISEL Global,"""Overall training was good and we got so much info which relates to six sigma methodology and the way of teaching was good, helped us with practical examples..but we missed to know about Minitab in this session... But the recording of Minitab offered later was helpful. 
Thanks to the trainer and specially shubham for coordinating in each and every aspect during the training.

""",14-12-2018
697,ISEL Global,"""I recently completed Six Sigma certification course from ISEL GLOBAL. The overall experience is fantastic. The training, material, trainer all are good and as per expectation. The way sessions and delivery is managed are commendable and project support by trainers is also very good. Fully Satisfied.""",14-12-2018
698,ISEL Global,"""ISEL Global is a very good online course where the course was designed in such a way that evens a person who has no idea about 6 sigma, they also understand and learn easily, the course material prepared  very good and trainer is describing  course  material properly, the most important thing is the coordinator is very helpful and giving a response quickly. """,12-12-2018
699,ISEL Global,"""The content needs drastic improvements, the instructor was also not upto the mark, seems searching for contents from internet during the classes as seen in recordings. Did not gave much learning and it was disastrous from the point of examination. Instructor may give examples of kind of question that may be asked from topic. Green Belt was much better learning vis-a-vis Black Belt. 
But the support and coordinators approach of helping is really good and commendable. """,12-12-2018
700,ISEL Global,"""I had a very nice experience with ISEL Global, successfully completed Green Belt in Six Sigma, all the staff members are very helpful and the faculty (Ayesha) is so supportive and punctual on time and being a trainer she is very polite and having a very knowledge of Six Sigma concept...Thank you so much for everyone in ISEL Global.""",12-12-2018
701,ISEL Global,"""Excellent training module. Many thanks to ISEL team and the trainer. The support and the training provided helped me a lot in implementing case scenarios in practical work. Great job ISEL. 

""",12-12-2018
702,ISEL Global,"""It was very good. The program and training are well tailored to the needs of the industry. The support received was prompt and up to the mark. If possible, try to include the chat messages in the recordings of the sessions.

""",12-12-2018
703,ISEL Global,"""As a member of ISEL Institute, I had an opportunity to learn and achieve the Lean Six Sigma Green Belt Certification. I was pleasantly surprised that I learned something that I didn't know. I am really thankful to the complete faculty group for conducting this online training which helps million plus people to achieve their dreams. I feel the Online training would have been more effective if the classes would have been more interactive with more examples. Also request the concerned team to adhere to the timelines in terms of conducting the classes or sending the certificates which will help the team to be customer friendly and give their best to customers. It is definitely a great supplement to my Career Aspirations. I highly recommend it.""",12-12-2018
704,ISEL Global,"""Trainer was good. The course material was nicely articulated and simple to understand. Training sessions were interesting and easy to follow. Customer service team has been excellent throughout and is very responsive to queries.

""",11-12-2018
705,ISEL Global,"""The program was good to learn new concepts and methodology and the trainer was elaborative on most of the topics, repeating several things multiple times to ensure its clear to all of us.

""",11-12-2018
706,ISEL Global,"""The program was good to learn new concepts and methodology and the trainer was elaborative on most of the topics, repeating several things multiple times to ensure its clear to all of us.

""",11-12-2018
707,ISEL Global,"""Customer support, Follow up, reminders and assistance by the team were commendable. The course was interesting, well organized and interactive. I completed by CLSSGB and fully satisfied with ISEL Global services. 

""",11-12-2018
708,ISEL Global,"""Excellent coaching and clarity in the training provided. This course is very informative on Lean Six Sigma Process, Tools and Techniques. I will recommend this course to others.
The project work and implementation support provided bt trainer is commendable. 

""",11-12-2018
709,ISEL Global,"""The program was good and detailed and well thought through the training videos shared. The support by the coordinator and customer support team too was very clear and to the point being well explanatory.

""",11-12-2018
710,ISEL Global,"""It was a good program to update our self professionally. Customer support was very prompt in their response & very professional. Training materials are worth & easy to understand the market requirements & changes need to be made. Last but not the least trainer was very well equipped in her talent sharing, clearing all doubts. All in all, worth a course to enrol.
""",10-12-2018
711,ISEL Global,"""This is an excellent program, i must thank the whole team for support. A special mention about the trainer Ayesha. she is extraordinary. Her training skills are best in class, very clear, informative at the same time understandable with simple examples. Once again i thank the whole team for the support and i hope that it continues with time.

""",10-12-2018
712,ISEL Global,"""Good Faculty. Madam Urmimala with Excellent Subject Knowledge and Overall Training content is Excellent, and Excellent Material with all required basic content which is very easy & understandable......Thanks ISEL Global for all support.""",10-12-2018
713,ISEL Global,"""Six-Sigma Program is very much advance course for learning, it is helpful for our career growth as well as professional growth. ISEL team support we got very much and trainer also very good,I always tell my colleagues to do Six- Sigma Course from ISEL Global. """,07-12-2018
714,ISEL Global,"""THIS IS AN EXCELLENT PROGRAM, I MUST THANK THE WHOLE TEAM FOR SUPPORT.  - A SPECIAL MENTION ABOUT THE TRAINER AYESHA: SHE IS EXTRAORDINARY. HER TRAINING SKILLS ARE BEST IN CLASS. VERY CLEAR, INFORMATIVE AT THE SAME TIME UNDERSTANDABLE WITH SIMPLE EXAMPLES. ONCE AGAIN I THANK THE WHOLE TEAM FOR THE SUPPORT AND I HOPE THAT IT CONTINUES WITH TIME.""",06-12-2018
715,ISEL Global,"""Very useful , educational and informative""",06-12-2018
716,Google Reviews,I really appreciate the ISEL Team helping me with this certification. The training provided was very systematic and detailed course materials. The trainers were very knowledgeable and explained the concepts in detail. The sessions was interactive and engaging as well. Overall a good learning experience. Thank you ISEL Team,07-07-2021
717,Google Reviews,"The Course was very well designed and modulated by the Instructor. The Education Body has taken a lot of pains and has come up with a teaching style which is very easy to assimilate. The Instructor is passionate about  imparting education and has ensured class participation to make it interactive and constantly judging for the level of assimilation by the class.It has been a very interactive, educative and interesting learning experience. I will strongly recommend ISEL Global to all the aspirants I know.",12-06-2021
718,Google Reviews,Course: Six sigma Green beltGreat course to learn about six sigma Green belt from entrance level to expertise level. This is a very well designed course which will help you learn about the six sigma's concept. The provided material very helpful to attempt the exam. I highly recommend this course. Thank you all for the immense support throughout the course.,07-07-2021
719,Google Reviews,"Hi! I would like to take this opportunity to let everyone know about the training I attended for six sigma black belt. The trainer was very supportive, attentive and knowledgeable. He has answered all the questions asked by each member and also help us to set right expectations. The session was just not a tick mark activity for him but he trained us like he is coaching himself. Even micro details were explained wonderfully. He explained a lot of content with real examples and also shared his personal experiences which helped a lot. The content was extremely informative and incredibly useful. I have attended six sigma green and yellow belt training before but I can't recall any of them having such a strong impact. Trainer have done a wonderful job and I appreciate his efforts.",12-06-2021
720,Google Reviews,“Well defined course with perfect coverage of all key areas of Lean Six Sigma. Learning was superb due to interactive and engaging online sessions. Trainer has in depth and practical knowledge in key areas which ensures the entire session to be of great utility to us. All in all I can say it was a splendid online certification course from ISEL.”,12-06-2021
721,Google Reviews,The training content and the training was excellent which will definitely help me to do better in current job. They are teaching not only for grabbing the certificates but ensuring that we can do it practically. Well experienced trainer is conducting the program. I will recommend this platform for those who would like to learn more and explore the opportunity to improve,06-07-2021
722,Google Reviews,The Course is a very powerful one with well prepared learning materials and a super video learning material that enabled me to be well focused from the beginning till the end of the Course.The impact of the course is huge and the exposure to my organizational practices are much.I have recommended most of my colleagues to enroll for the course based on the great benefits and direct impact on personal development and career advancement.,05-07-2021
723,Google Reviews,The program structure at ISEL is well organised. The content was extremely informative & incredibly useful. The trainers here are knowledgeable & professional. They have done a wonderful job & I appreciate their efforts. Definitely recommend!,05-07-2021
724,Google Reviews,"The program was absolutely superb and I genuinely enjoyed each and every moment of it. The content was extremely informative and incredibly useful. I have attended several trainings but I cant recall any of them having such impact. The trainer has done wonderful and appreciable efforts. I ,myself would love to attend future trainings organized by you and I will definitely recommend this training to my friends and colleagues. Thanks",12-06-2021
725,Google Reviews,I registered for the Lean six sigma Green Belt certification and found ISEL to be one of the leader in these educational courses. The details were crisp and clear from the beginning along with sufficient informative modules availability. There were tons of examples in the modules along with assignments and projects. I would highly recommend ISEL to other candidates.,28-06-2021
726,Google Reviews,"ISEL provided a wonderful platform in this new e-learning scenario. The course was very well designed. The instructor is passionate about imparting knowledge and made sure that every participant should be involved. The doubts were handled very well. I would also like to appreciate the efforts and approachability of Ms Ruchi who was always there to support, representing ISEL for their commitments towards the participants",12-06-2021
727,Google Reviews,"The course was overall good!High ROI in less investment, value for money and gives best knowledge which can help me to solve the corporate problems in six sigma way.The design of course was appropriate and trainers are knowledgeable and experienced.Lastly, the customer support are Excellent!",28-06-2021
728,Google Reviews,"Excellent course content but recorded videos for Six Sigma MBB course could have been better, I did not find them very useful. Videos should have been recorded while conducting live classes to include doubts/questions that trainee may have during the class. Most of the times I see trainer is keeping just one slide on screen and talking for too long which makes it evident that he is simply reading the content behind the scene. There is a lot of scope for improvement in presentation/slides also, anyone who is taking MBB course would be experienced enough to know these things which I have staled above.",05-07-2021
729,Google Reviews,"Before joining the ISEL ,  I was very much confused for the center to be chosen for the certification and when I came in contact with ISEL all of my confusion was away. Very systematically approach , very high level of degree of training and training content helped me a lot to enhance my knowledge . The way program is designed is very much user friendly to apply in practical at our work place. Thanks ISEL for helping me our  my certification.",28-06-2021
730,Google Reviews,"Trainer is highly experienced and qualified, the course is designed to have a 360 view on the complete 6sigma concept. It offers you the concept in the best possible way.",05-07-2021
731,Google Reviews,"The programme of ""Lean Six Sigma"" training was well structured and organized. The supporting staffs of ISEL  was very good. The trainer  had very strong knowledge of the concepts  and  training was very informative, illustrated with live examples in details and definitely it helps me a lot at workplace. Thanks to all ISEL team.",12-06-2021
732,Google Reviews,"> Overall training experience was brilliant and with detailed explanation of content it was easy to grasp things, however I believe the training duration can be extended for a day or two> Commendable efforts by the training coordinators and the whole ISEL Team to smoothly execute the sessions> Training content can be further tweaked considering linkage with assessment & composed behavior of trainer will definitely be appreciated",05-07-2021
733,Google Reviews,The complete program from ISEL Global for Lean Six Sigma (Green + Black Belt) is well structured and organized. The trainer was well versed in all the topics and encouraged learning with continuous feedback session. I would highly recommend this program from ISEL Global to everyone.,12-06-2021
734,Google Reviews,"I really appreciate & enjoyed the online course. I thought it was well planned and layed out, easy for me to follow. The work load was just enough, so I could finish everything with enough time, learn about the topics and not feel over loaded and rushed. Thank you for such wonderful experience.",12-06-2021
735,Google Reviews,"Training Program was good , Support for all quires was well within the time, Training was really well done , it was very informative training tools used, Trainer voice was very clear to understand & all examples was very easy to understand.",06-07-2021
736,Google Reviews,The content and the training was excellent which will defenitely help us to do better in current job. They are teaching not only for grabbing the certificates instead ensuring that we can do it practically. Well experienced trainer is conducting the program. I will recommend this platform for those who would like to learn more and explore the opportunity to improve,12-05-2021
737,Google Reviews,“Well-structured course with almost complete  coverage of all key areas of Lean Six Sigma. Sessions were interactive & efficient. Trainer has in depth and practical making  the entire session to be of great utility to us.”,12-06-2021
738,Google Reviews,I had taken the online learning course for Lean Six Sigma Green and Black Belt combo and it was a wonderful experience to learn from the trainers. The online classes were very helpful in understanding the concepts and to apply the same at work. They have a well designed course that helps is clearly understanding the course and clearing the exam in the first attempt. Thank you ISEL.,12-05-2021
739,Google Reviews,"The program is well designed and very well conducted by an expert trainer, who kept the participants engaged in all the sessions with the help of real life experience and examples shared and discussed within the group. I enjoyed the course and would recommend it to my friends looking for such a course.",21-06-2021
740,Google Reviews,Trainer and team have good understanding of our objectives and his materials were well suited to meeting them. It was a well delivered and presented course that was well received by the group. There was a great balance between theory and practice and the concepts were clearly and professionally explained,12-06-2021
741,Google Reviews,"I am so impressed with ISEL– the courses; the manuals which are actually usable, readable and understandable; and the instructor. If I ever need additional training, you will be my first choice!""Very impressed by the course, recommending to my friends & colleagues.",12-06-2021
742,Google Reviews,"​Full name that you want to be printed on the certificate - Prajwal Sunder KamalTrainee DOB- 23/11/1988Highest Education- MSc Industrial ChemistryNationality- IndianEmployment - Quality Officer at United Breweries LimitedPassport Size Photo1.jpgFeedback for the program, customer support, training & trainer-Rohith has done an exceptional job thank u so much also i would like to thank Shubham for his uninterrupted services.",10-07-2021
743,Google Reviews,It was a really good experience learning LSSGB from ISEL Global. Mr. Rohit sir our course trainer has a very good hold in each concept and provided a very good example. Overall wonderful experience. Looking forward to the Black Belt and also the coordinator Mr. Shubham was very helpful.,07-07-2021
744,Google Reviews,Thank you for a great course. Great presentation style with lots of opportunities to ask questions and talk about real life examples.The content was extremely informative and incredibly useful.,12-06-2021
745,Google Reviews,"Very prompt, professional and responsive.  Above all, they know what they are doing so that they can guide people who approach them, to their fullest potential.  Mr. Prasad, who was our trainer had immense experience in the industry and his knowledge on PMP is very commendable.  It was a wonderful session to take away the exact foundation on which one has to build their path of PMP certification on.",05-07-2021
746,Google Reviews,The ISEL Global CLSSGB gave me extensive and in-depth knowledge about Six Sigma. The lectures were really informative and the trainer an expert. I have gained great insight into Six Sigma and I am ready to apply it in my Industry.,12-06-2021
747,Google Reviews,Thank you for the Program co-ordination and support. Training content were appropriate & in line with global standards. It helps me to enhance my knowledge.,12-06-2021
748,Google Reviews,"Happy to be associated with ISEL for Career enhancement programs. Detailed course materials , class recordings and tools provided will certainly help to add value to the career and organisation I engage to work with. Timely support of customer support was very helpful. Subject matter experts / Trainers on Lean Six Sigma Green belts are very focused on training us according to the present day industrial requirement and clarifying the simple to complex Questions associated with the course. Overall , worth investigating time and money",12-04-2021
749,Google Reviews,"ISEL is a Excellent Training Provider for Six Sigma.The Training program was really good. I got good support from ISEL Team specially Shubham who was always there to answer our queries and also I would like to thank our Trainer Rohit, who is very knowledgeable and cleared our each and every doubt during our training session and even post the session, he even went extra mile by conducting an extra revision session.I would really recommend this course to my colleagues.",21-06-2021
750,Google Reviews,I would like to say that. ISEL is simply Awesome! All the supporting team are very well behaved. Even they help very quickly in all regards. Initially I was afraid to join but now feeling blessed as I have certificate of lssgb as well as 35 contact hours. Thank you all. Keep going on..!!,12-05-2021
751,Google Reviews,"Lean six sigma program was informative and interactive, Trainer has a good hold on the subject and conveyed what is needed for the training, Thank you for the trainer for sharing his knowledge. It is overall wonderful experience and it is highly recommended training",12-06-2021
752,Google Reviews,"The Black Belt Training provided by the faculty was extremely helpful. The entire session was accommodated using examples, samples, and practice as well. The facilitator was very helpful and made sure that participants are clear with the concepts and stressed key areas to be practiced and followed while doing BB projects. The overall program was articulated in a very simple language through real-life examples. The recording sessions sent were extremely helpful revise the topics before the next session. Thank you, for the excellent learning and for helping add value to our career.",12-02-2021
753,Google Reviews,"Rohit have very good hold on each concept and he taught the concept with very proper example where each one can relate their organization. Also, trainer was taking care that all trainees have understood the concept, and no one is left behind.",21-06-2021
754,Google Reviews,"Smooth journey during the online classes for the program. Knowledgeable Trainer, having years of experience in PMP. Real life examples were given in the session. Detailed approach was taken to make topics easier.",05-07-2021
755,Google Reviews,I have taken Lean Six Sigma Green Belt certificate program online. Customer support is very proactive and supportive and polite. Though I learn this with pre recorded still while watching the video it looks like very interactive and live session,12-06-2021
756,Google Reviews,ISEL Lean Six Sigma Green Belt Programme is very well designed. Trainers are very good and give personal attention for problem solving. Overall good learning experience.,12-06-2021
757,Google Reviews,The Course was well designed and instructed by the instructor rohit sir.The instructor is proactive in approach and  ensured participation of all. It has been a good experience with ISEL and will recommend it to one who is interested in six sigma.,12-06-2021
758,Google Reviews,"This program is very good.Trainer and Training - Best ever i can say, thanks to Rohit Armani, Now I have completed my Greenbelt because of him. Wonderful and in-details explanation.  Wonderful Program, would be great if you guys can help us get through some job as well. Thank you.",12-05-2021
759,Google Reviews,"Overall Program for Six Sigma Green Belt was good and looking forward to do black belt certification also. Customer support, training and trainer were also supportive. Overall I am satisfied with the program.",12-05-2021
760,Google Reviews,"The program was awesome, the online structure and weekend classes were a boon to me. Customer support - It was bliss to have such seamless and unrelenting support. Please convey my gratitude to Neha for being so committed to help and seamlessly supportive on each step. Training was very well structured and pacing was precise, we spent appropriate time on each topic to get the understanding right. Our trainer Rohit had fab connect with us and handheld us to understand even the most confusing concepts like DOE with relative ease.",12-05-2021
761,Google Reviews,Program was great with all the material provided for self study for people who want to manage it at their own pace. Trainer was polite and answered all questions.,12-06-2021
762,Google Reviews,"Lean Six Sigma programme from ISEL Global was really very good& shall really be very worth in day-to-day official work. Customer support was very polite, courteous & helpful. Course / training material was given on time, all the session links were given; Training given by the trainer was a very interactive type. Overall, a very good experience.",12-06-2021
763,Google Reviews,The program was good. The modules provided were very crisp. The class lectures were also pretty informative.,12-06-2021
764,Google Reviews,"SEL Global is the very Great E-learning platform . they give the enough guidance during the on live projects which helps us to gain more exposure and knowledge in completing the six sigma projects. About training or course materials, it is very advance. I m thankful to ISEL Global team to supporting me during my training period. Training coordinator, Trainer are very cooperative.",12-05-2021
765,Google Reviews,"A well-planned program, provided valuable insights about Project Management, I strongly reckon that it will make a significant contribution in optimizing available bandwidth and make me more aligned and adaptive to handle dynamic and complex requirements.",21-06-2021
